transaction_id,event_timestamp,event_sequence,sender_wallet,receiver_wallet,amount,transaction_type,channel,agent_id,partition
TXN094572,2024-01-01T01:51:00+00:00,35,W1885,W1835,3751.1304819864076,transfer,agent,A0148,independent
TXN074796,2024-01-01T01:51:00+00:00,36,W1297,W1232,9633.415960899561,transfer,agent,A0098,validation
TXN042669,2024-01-01T01:52:00+00:00,37,W0991,W0395,483.59716312063046,transfer,agent,A0055,train
TXN086931,2024-01-01T02:04:00+00:00,38,W1704,W1559,1274.955064823707,transfer,agent,A0130,final_test
TXN020218,2024-01-01T02:08:00+00:00,39,W0589,W0006,457.2079124323362,transfer,agent,A0057,train
TXN057933,2024-01-01T02:09:00+00:00,40,W0437,W0852,5616.238862938382,transfer,agent,A0093,train
TXN016481,2024-01-01T02:13:00+00:00,41,W1188,W0469,9355.670130501907,transfer,p2p,,train
TXN046972,2024-01-01T02:13:00+00:00,42,W0692,W0151,4263.273831012402,transfer,p2p,,train
TXN065209,2024-01-01T02:27:00+00:00,43,W1486,W1256,1094.4329217206023,transfer,agent,A0110,validation
TXN039244,2024-01-01T02:27:00+00:00,44,W0415,W0929,15214.882272135073,transfer,agent,A0068,train
TXN019339,2024-01-01T02:33:00+00:00,45,W0289,W0963,5494.928882226066,transfer,agent,A0081,train
TXN081766,2024-01-01T02:36:00+00:00,46,W1538,W1685,7144.061730783455,transfer,agent,A0129,final_test
TXN041141,2024-01-01T02:44:00+00:00,47,W0391,W0276,999.9845798348949,transfer,p2p,,train
TXN048610,2024-01-01T02:55:00+00:00,48,W0991,W0036,400.21815005517703,transfer,agent,A0005,train
TXN027038,2024-01-01T02:57:00+00:00,49,W1083,W1074,447.44601828284516,transfer,agent,A0043,train
TXN027649,2024-01-01T02:58:00+00:00,50,W0231,W0394,466.8571129351137,transfer,agent,A0052,train
TXN034343,2024-01-01T02:58:00+00:00,51,W0855,W0453,8739.981464851999,transfer,agent,A0081,train
TXN056227,2024-01-01T02:59:00+00:00,52,W0448,W0629,18.822361501732544,transfer,agent,A0015,train
TXN095620,2024-01-01T03:03:00+00:00,53,W1867,W1918,131.3802477511971,transfer,agent,A0155,independent
TXN069917,2024-01-01T03:05:00+00:00,54,W1227,W1334,7316.565066222323,transfer,agent,A0099,validation
TXN049420,2024-01-01T03:08:00+00:00,55,W0794,W0688,1758.8508469245285,transfer,agent,A0048,train
TXN067181,2024-01-01T03:10:00+00:00,56,W1262,W1322,1109.9325344615681,transfer,agent,A0099,validation
TXN040594,2024-01-01T03:16:00+00:00,57,W0752,W0168,6728.455541051874,transfer,agent,A0014,train
TXN062325,2024-01-01T03:17:00+00:00,58,W0318,W0292,1793.833192910272,transfer,agent,A0026,train
TXN051079,2024-01-01T03:24:00+00:00,59,W1116,W0232,9621.583805536226,transfer,p2p,,train
TXN012946,2024-01-01T03:26:00+00:00,60,W0476,W0411,6925.80446953481,transfer,agent,A0087,train
TXN066915,2024-01-01T03:32:00+00:00,61,W1311,W1469,8895.7981298105,transfer,agent,A0108,validation
TXN067602,2024-01-01T03:33:00+00:00,62,W1267,W1263,16254.22821189061,transfer,agent,A0109,validation
TXN067287,2024-01-01T03:38:00+00:00,63,W1260,W1353,6414.690562245865,transfer,agent,A0098,validation
TXN077780,2024-01-01T03:41:00+00:00,64,W1402,W1452,336.54525773183076,transfer,p2p,,validation
TXN032397,2024-01-01T03:42:00+00:00,65,W0154,W0015,1231.0435141865923,transfer,agent,A0056,train
TXN023235,2024-01-01T03:45:00+00:00,66,W0982,W1156,11297.181689612182,transfer,agent,A0086,train
TXN033337,2024-01-01T03:46:00+00:00,67,W0668,W0575,18678.63080869707,transfer,p2p,,train
TXN062775,2024-01-01T03:46:00+00:00,68,W0986,W0040,1704.9142259979012,transfer,p2p,,train
TXN053296,2024-01-01T03:48:00+00:00,69,W0432,W0641,1752.9106153140237,transfer,agent,A0085,train
TXN070583,2024-01-01T03:49:00+00:00,70,W1220,W1389,1249.915988808743,transfer,agent,A0096,validation
TXN075770,2024-01-01T03:51:00+00:00,71,W1439,W1294,6626.143763157815,transfer,agent,A0110,validation
TXN013025,2024-01-01T04:02:00+00:00,72,W0765,W0277,280.1353746263915,transfer,agent,A0030,train
TXN025167,2024-01-01T04:04:00+00:00,73,W0666,W1072,912.5762526705576,transfer,agent,A0067,train
TXN069001,2024-01-01T04:06:00+00:00,74,W1407,W1496,327.255895351045,transfer,agent,A0102,validation
TXN083388,2024-01-01T04:06:00+00:00,75,W1579,W1501,778.6864652681736,transfer,p2p,,final_test
TXN066039,2024-01-01T04:08:00+00:00,76,W1326,W1429,9124.802683458418,transfer,agent,A0102,validation
TXN050357,2024-01-01T04:13:00+00:00,77,W0590,W0710,95.27299959023856,transfer,agent,A0023,train
TXN028344,2024-01-01T04:14:00+00:00,78,W1149,W0959,18341.65735215075,transfer,p2p,,train
TXN058054,2024-01-01T04:16:00+00:00,79,W0294,W0767,9883.781078549522,transfer,agent,A0048,train
TXN014884,2024-01-01T04:21:00+00:00,80,W0071,W1163,5699.245210196438,transfer,agent,A0047,train
TXN087098,2024-01-01T04:21:00+00:00,81,W1562,W1743,8122.11505511984,transfer,agent,A0128,final_test
TXN026898,2024-01-01T04:21:00+00:00,82,W0890,W0457,17028.419092266042,transfer,p2p,,train
TXN090520,2024-01-01T04:23:00+00:00,83,W1585,W1646,9442.192535095932,transfer,agent,A0142,final_test
TXN078931,2024-01-01T04:28:00+00:00,84,W1731,W1720,129.43513884674886,transfer,agent,A0120,final_test
TXN033444,2024-01-01T04:29:00+00:00,85,W0201,W0043,90.58969602566286,transfer,agent,A0058,train
TXN022074,2024-01-01T04:31:00+00:00,86,W0984,W0201,205.79845448293162,transfer,p2p,,train
TXN094156,2024-01-01T04:32:00+00:00,87,W1993,W1901,14056.860941675512,transfer,agent,A0148,independent
TXN071865,2024-01-01T04:38:00+00:00,88,W1270,W1201,6846.1980426084865,transfer,agent,A0104,validation
TXN072264,2024-01-01T04:42:00+00:00,89,W1458,W1262,347.7536123249255,transfer,agent,A0097,validation
TXN069587,2024-01-01T04:46:00+00:00,90,W1435,W1287,11251.96812149569,transfer,agent,A0105,validation
TXN053121,2024-01-01T04:50:00+00:00,91,W0476,W0445,7521.053045190422,transfer,agent,A0019,train
TXN051029,2024-01-01T04:53:00+00:00,92,W0141,W0713,930.1993736517188,transfer,agent,A0075,train
TXN060610,2024-01-01T04:56:00+00:00,93,W0374,W0942,397.5732477176829,transfer,agent,A0046,train
TXN066002,2024-01-01T05:06:00+00:00,94,W1378,W1261,2810.8829009181864,transfer,agent,A0115,validation
TXN077800,2024-01-01T05:09:00+00:00,95,W1380,W1278,53.944370857462,transfer,p2p,,validation
TXN080045,2024-01-01T05:16:00+00:00,96,W1673,W1747,3792.438279792225,transfer,p2p,,final_test
TXN099236,2024-01-01T05:16:00+00:00,97,W1971,W1960,1981.227150866419,transfer,agent,A0148,independent
TXN016839,2024-01-01T05:19:00+00:00,98,W0958,W0574,568.4939492957192,transfer,agent,A0009,train
TXN024606,2024-01-01T05:19:00+00:00,99,W0477,W0533,16985.765171263083,transfer,agent,A0077,train
TXN095499,2024-01-01T05:24:00+00:00,100,W1940,W1974,809.3332672588934,transfer,p2p,,independent
TXN022519,2024-01-01T05:27:00+00:00,101,W0047,W0432,299.8760489750275,transfer,agent,A0033,train
TXN057960,2024-01-01T05:28:00+00:00,102,W0722,W0934,70.26252914394485,transfer,agent,A0068,train
TXN096934,2024-01-01T05:38:00+00:00,103,W1951,W1956,1191.9445278755063,transfer,agent,A0157,independent
TXN035939,2024-01-01T05:56:00+00:00,104,W0751,W0958,6168.746455945307,transfer,p2p,,train
TXN053273,2024-01-01T06:02:00+00:00,105,W0223,W0991,299.5377189325156,transfer,agent,A0036,train
TXN044348,2024-01-01T06:05:00+00:00,106,W1030,W0173,444.9105590335157,transfer,agent,A0086,train
TXN098093,2024-01-01T06:08:00+00:00,107,W1811,W1803,566.038403504443,transfer,p2p,,independent
TXN013613,2024-01-01T06:09:00+00:00,108,W1196,W0630,296.4340036002652,transfer,agent,A0092,train
TXN051092,2024-01-01T06:09:00+00:00,109,W1048,W0706,17945.827706680397,transfer,agent,A0000,train
TXN023284,2024-01-01T06:10:00+00:00,110,W1156,W0081,5311.045904033699,transfer,p2p,,train
TXN053385,2024-01-01T06:10:00+00:00,111,W0259,W0933,1031.7960933045617,transfer,agent,A0062,train
TXN073776,2024-01-01T06:11:00+00:00,112,W1405,W1276,8672.934290698337,transfer,p2p,,validation
TXN084401,2024-01-01T06:19:00+00:00,113,W1658,W1590,1698.4153689789355,transfer,agent,A0121,final_test
TXN034065,2024-01-01T06:20:00+00:00,114,W0475,W0256,8465.626028790519,transfer,agent,A0058,train
TXN027413,2024-01-01T06:23:00+00:00,115,W0213,W0573,448.6013737981127,transfer,agent,A0013,train
TXN066538,2024-01-01T06:25:00+00:00,116,W1390,W1349,273.848285674643,transfer,agent,A0105,validation
TXN071976,2024-01-01T06:25:00+00:00,117,W1412,W1479,47.42075511402732,transfer,p2p,,validation
TXN036643,2024-01-01T06:28:00+00:00,118,W0583,W0166,901.1770045865103,transfer,p2p,,train
TXN060728,2024-01-01T06:30:00+00:00,119,W0837,W0272,10443.596219348994,transfer,agent,A0086,train
TXN067178,2024-01-01T06:32:00+00:00,120,W1335,W1333,6015.9612517257565,transfer,agent,A0099,validation
TXN099683,2024-01-01T06:37:00+00:00,121,W1872,W1824,4593.284354814548,transfer,agent,A0147,independent
TXN083249,2024-01-01T06:41:00+00:00,122,W1650,W1620,3062.243963026557,transfer,agent,A0140,final_test
TXN069465,2024-01-01T06:42:00+00:00,123,W1224,W1314,1103.8649618958898,transfer,agent,A0108,validation
TXN080155,2024-01-01T06:48:00+00:00,124,W1603,W1687,1098.5749957479918,transfer,agent,A0139,final_test
TXN027517,2024-01-01T06:53:00+00:00,125,W0119,W0731,3436.4399134571213,transfer,agent,A0005,train
TXN087276,2024-01-01T07:00:00+00:00,126,W1520,W1738,442.14300246814116,transfer,agent,A0134,final_test
TXN090247,2024-01-01T07:06:00+00:00,127,W1546,W1775,1293.6314094018478,transfer,agent,A0141,final_test
TXN031272,2024-01-01T07:08:00+00:00,128,W0316,W0426,16319.150241494173,transfer,agent,A0070,train
TXN041201,2024-01-01T07:10:00+00:00,129,W0366,W0459,13715.301151006914,transfer,agent,A0071,train
TXN044039,2024-01-01T07:12:00+00:00,130,W0630,W0903,1805.8788775445942,transfer,p2p,,train
TXN070541,2024-01-01T07:13:00+00:00,131,W1369,W1377,1495.5601399036025,transfer,agent,A0104,validation
TXN035049,2024-01-01T07:15:00+00:00,132,W0807,W0511,14469.084285922341,transfer,agent,A0020,train
TXN081009,2024-01-01T07:16:00+00:00,133,W1704,W1576,403.918641735178,transfer,agent,A0140,final_test
TXN040709,2024-01-01T07:29:00+00:00,134,W0088,W0650,1594.5268573687988,transfer,p2p,,train
TXN069295,2024-01-01T07:30:00+00:00,135,W1267,W1246,17261.432166957864,transfer,p2p,,validation
TXN078734,2024-01-01T07:33:00+00:00,136,W1697,W1550,325.4667811595051,transfer,agent,A0129,final_test
TXN086760,2024-01-01T07:38:00+00:00,137,W1630,W1511,9183.654707667465,transfer,p2p,,final_test
TXN097454,2024-01-01T07:40:00+00:00,138,W1971,W1840,15424.915956109948,transfer,p2p,,independent
TXN089691,2024-01-01T07:41:00+00:00,139,W1565,W1574,3246.787140923,transfer,agent,A0121,final_test
TXN069770,2024-01-01T07:47:00+00:00,140,W1270,W1363,8127.854367926792,transfer,p2p,,validation
TXN085277,2024-01-01T07:47:00+00:00,141,W1549,W1531,210.67758264368652,transfer,agent,A0131,final_test
TXN097702,2024-01-01T07:50:00+00:00,142,W1915,W1929,268.1199611769106,transfer,agent,A0152,independent
TXN019044,2024-01-01T07:50:00+00:00,143,W0836,W0932,396.697276150865,transfer,agent,A0029,train
TXN098630,2024-01-01T07:51:00+00:00,144,W1836,W1824,656.360514304753,transfer,p2p,,independent
TXN064462,2024-01-01T07:51:00+00:00,145,W0842,W1184,2985.6182040522617,transfer,p2p,,train
TXN019614,2024-01-01T07:53:00+00:00,146,W0211,W0582,1858.720788067991,transfer,agent,A0007,train
TXN055774,2024-01-01T07:53:00+00:00,147,W0227,W0289,131.7136580237962,transfer,agent,A0067,train
TXN023232,2024-01-01T07:56:00+00:00,148,W0209,W0869,9345.516425620222,transfer,agent,A0088,train
TXN060786,2024-01-01T07:56:00+00:00,149,W0935,W0087,6408.344320607758,transfer,p2p,,train
TXN022581,2024-01-01T07:58:00+00:00,150,W0809,W0021,7645.248308215562,transfer,agent,A0040,train
TXN058838,2024-01-01T07:58:00+00:00,151,W0210,W0298,154.3816207342121,transfer,p2p,,train
TXN060888,2024-01-01T08:03:00+00:00,152,W1084,W0680,26.518504028157352,transfer,p2p,,train
TXN046372,2024-01-01T08:09:00+00:00,153,W0961,W1129,9182.986559975829,transfer,agent,A0039,train
TXN041936,2024-01-01T08:12:00+00:00,154,W0596,W0488,10546.749958771874,transfer,agent,A0079,train
TXN018681,2024-01-01T08:13:00+00:00,155,W0023,W0742,7313.566155650239,transfer,p2p,,train
TXN098830,2024-01-01T08:15:00+00:00,156,W1902,W1890,306.898157499347,transfer,agent,A0144,independent
TXN047649,2024-01-01T08:21:00+00:00,157,W0074,W0480,401.38536119514094,transfer,agent,A0050,train
TXN029389,2024-01-01T08:31:00+00:00,158,W1039,W0685,9894.267204437547,transfer,agent,A0010,train
TXN072655,2024-01-01T08:32:00+00:00,159,W1239,W1431,166.78383080017247,transfer,agent,A0115,validation
TXN051324,2024-01-01T08:33:00+00:00,160,W0189,W1158,202.0526219252524,transfer,agent,A0067,train
TXN031015,2024-01-01T08:36:00+00:00,161,W0035,W0760,9097.617896591168,transfer,agent,A0020,train
TXN063192,2024-01-01T08:36:00+00:00,162,W0056,W0461,5144.572250594663,transfer,p2p,,train
TXN063405,2024-01-01T08:41:00+00:00,163,W1130,W0503,9641.053972968726,transfer,agent,A0031,train
TXN080922,2024-01-01T08:48:00+00:00,164,W1612,W1699,1130.6895058451423,transfer,p2p,,final_test
TXN078869,2024-01-01T08:57:00+00:00,165,W1538,W1712,10621.968816320115,transfer,p2p,,final_test
TXN029614,2024-01-01T08:58:00+00:00,166,W1170,W0048,3323.337598201825,transfer,agent,A0022,train
TXN081204,2024-01-01T09:00:00+00:00,167,W1568,W1572,2498.697305733359,transfer,p2p,,final_test
TXN065031,2024-01-01T09:03:00+00:00,168,W1478,W1429,20.161499597283086,transfer,p2p,,validation
TXN066251,2024-01-01T09:08:00+00:00,169,W1338,W1265,1353.6696103992417,transfer,agent,A0114,validation
TXN016966,2024-01-01T09:08:00+00:00,170,W1140,W0810,90.2280070956165,transfer,agent,A0079,train
TXN030804,2024-01-01T09:08:00+00:00,171,W0850,W0531,1619.8503793114585,transfer,agent,A0053,train
TXN087721,2024-01-01T09:09:00+00:00,172,W1644,W1724,1602.9253421259893,transfer,agent,A0141,final_test
TXN086204,2024-01-01T09:15:00+00:00,173,W1650,W1655,11197.937309482286,transfer,p2p,,final_test
TXN078165,2024-01-01T09:19:00+00:00,174,W1587,W1508,330.0982007773145,transfer,agent,A0138,final_test
TXN025665,2024-01-01T09:20:00+00:00,175,W0616,W0007,578.2810028623106,transfer,p2p,,train
TXN039592,2024-01-01T09:23:00+00:00,176,W0099,W0641,14454.324120277002,transfer,p2p,,train
TXN002058,2024-01-01T09:24:00+00:00,177,W0560,W0028,9724.501668312496,transfer,agent,A0044,train
TXN027763,2024-01-01T09:25:00+00:00,178,W0265,W0597,1640.871368528844,transfer,agent,A0065,train
TXN037155,2024-01-01T09:26:00+00:00,179,W0163,W0079,89.241907151281,transfer,agent,A0074,train
TXN048088,2024-01-01T09:31:00+00:00,180,W0410,W1185,172.4959811940571,transfer,agent,A0068,train
TXN017593,2024-01-01T09:33:00+00:00,181,W0940,W0718,1167.7607567369573,transfer,agent,A0021,train
TXN042554,2024-01-01T09:34:00+00:00,182,W0777,W0112,16520.22196122365,transfer,p2p,,train
TXN069967,2024-01-01T09:39:00+00:00,183,W1364,W1214,10725.643004809486,transfer,agent,A0115,validation
TXN058027,2024-01-01T09:39:00+00:00,184,W0945,W0624,11119.452291179927,transfer,agent,A0025,train
TXN025678,2024-01-01T09:43:00+00:00,185,W0847,W0275,23.41981440025004,transfer,agent,A0039,train
TXN027053,2024-01-01T09:46:00+00:00,186,W0505,W0899,11920.284397311963,transfer,agent,A0089,train
TXN080285,2024-01-01T09:48:00+00:00,187,W1771,W1797,18954.523075600326,transfer,p2p,,final_test
TXN032626,2024-01-01T09:50:00+00:00,188,W0141,W0326,481.91027956343834,transfer,agent,A0062,train
TXN002057,2024-01-01T09:51:00+00:00,189,W1001,W0417,9837.241261250148,transfer,agent,A0022,train
TXN094507,2024-01-01T09:52:00+00:00,190,W1939,W1983,366.980980012854,transfer,p2p,,independent
TXN029222,2024-01-01T09:57:00+00:00,191,W1065,W0265,273.1765405431183,transfer,agent,A0014,train
TXN037638,2024-01-01T10:00:00+00:00,192,W1045,W0818,355.5025041596187,transfer,p2p,,train
TXN048026,2024-01-01T10:02:00+00:00,193,W0592,W0058,786.8692066358107,transfer,agent,A0065,train
TXN067094,2024-01-01T10:05:00+00:00,194,W1399,W1236,183.9312138248587,transfer,agent,A0100,validation
TXN022977,2024-01-01T10:09:00+00:00,195,W0674,W0788,218.8786199831622,transfer,agent,A0017,train
TXN065393,2024-01-01T10:14:00+00:00,196,W1407,W1426,486.20278908990895,transfer,agent,A0111,validation
TXN093892,2024-01-01T10:15:00+00:00,197,W1933,W1827,8893.679650197748,transfer,agent,A0156,independent
TXN002158,2024-01-01T10:18:00+00:00,198,W0035,W0890,9521.789585905939,transfer,agent,A0045,train
TXN053511,2024-01-01T10:20:00+00:00,199,W0831,W0653,7332.802107923614,transfer,agent,A0061,train
TXN018953,2024-01-01T10:21:00+00:00,200,W0731,W0054,1313.1521815417595,transfer,agent,A0093,train
TXN075932,2024-01-01T10:22:00+00:00,201,W1480,W1458,4358.837040874064,transfer,p2p,,validation
TXN038528,2024-01-01T10:26:00+00:00,202,W0664,W0187,154.0014412627994,transfer,agent,A0083,train
TXN039569,2024-01-01T10:29:00+00:00,203,W1041,W0963,9656.167343122763,transfer,p2p,,train
TXN013557,2024-01-01T10:31:00+00:00,204,W0857,W1199,3726.0340541990863,transfer,agent,A0020,train
TXN039077,2024-01-01T10:32:00+00:00,205,W0147,W0387,2776.0108185485924,transfer,agent,A0001,train
TXN049498,2024-01-01T10:34:00+00:00,206,W0265,W1170,1912.926652671371,transfer,agent,A0076,train
TXN073372,2024-01-01T10:35:00+00:00,207,W1390,W1241,492.03576059939087,transfer,p2p,,validation
TXN090644,2024-01-01T10:36:00+00:00,208,W1670,W1716,14337.055634936889,transfer,p2p,,final_test
TXN051951,2024-01-01T10:39:00+00:00,209,W0705,W0488,305.29305021738315,transfer,agent,A0016,train
TXN025861,2024-01-01T10:41:00+00:00,210,W0138,W0432,1703.8727922143173,transfer,p2p,,train
TXN074517,2024-01-01T10:45:00+00:00,211,W1334,W1385,1421.481211614094,transfer,agent,A0101,validation
TXN050900,2024-01-01T10:52:00+00:00,212,W1048,W1166,12285.83753951167,transfer,agent,A0086,train
TXN055233,2024-01-01T10:56:00+00:00,213,W0478,W0419,2783.389392383912,transfer,agent,A0025,train
TXN061451,2024-01-01T11:03:00+00:00,214,W1109,W0052,131.73616956339956,transfer,agent,A0007,train
TXN070591,2024-01-01T11:06:00+00:00,215,W1216,W1387,8487.689429325977,transfer,p2p,,validation
TXN086516,2024-01-01T11:08:00+00:00,216,W1598,W1613,171.28604118318003,transfer,agent,A0126,final_test
TXN077347,2024-01-01T11:13:00+00:00,217,W1345,W1213,330.09811629709435,transfer,agent,A0110,validation
TXN070988,2024-01-01T11:16:00+00:00,218,W1327,W1209,1023.790868732368,transfer,agent,A0109,validation
TXN025463,2024-01-01T11:20:00+00:00,219,W0613,W0300,6322.852921526772,transfer,agent,A0000,train
TXN055097,2024-01-01T11:22:00+00:00,220,W1130,W0471,14923.778752982618,transfer,agent,A0049,train
TXN040582,2024-01-01T11:23:00+00:00,221,W0420,W0669,432.9081753791978,transfer,agent,A0069,train
TXN086559,2024-01-01T11:26:00+00:00,222,W1599,W1622,295.8496755432956,transfer,agent,A0137,final_test
TXN075353,2024-01-01T11:34:00+00:00,223,W1225,W1390,336.39988046188023,transfer,agent,A0111,validation
TXN092735,2024-01-01T11:40:00+00:00,224,W1913,W1852,4136.961763448784,transfer,agent,A0159,independent
TXN041797,2024-01-01T11:43:00+00:00,225,W1190,W1164,2871.981659776213,transfer,agent,A0010,train
TXN027405,2024-01-01T11:44:00+00:00,226,W0421,W0462,140.82927023369007,transfer,agent,A0037,train
TXN065326,2024-01-01T11:52:00+00:00,227,W1238,W1263,420.6096762896345,transfer,agent,A0100,validation
TXN087389,2024-01-01T11:52:00+00:00,228,W1680,W1677,7740.702320792912,transfer,p2p,,final_test
TXN087419,2024-01-01T11:54:00+00:00,229,W1573,W1661,1591.7158484362706,transfer,agent,A0129,final_test
TXN097472,2024-01-01T12:03:00+00:00,230,W1894,W1970,348.51344416113733,transfer,agent,A0151,independent
TXN020381,2024-01-01T12:05:00+00:00,231,W0465,W0869,19175.312524321023,transfer,agent,A0080,train
TXN021973,2024-01-01T12:11:00+00:00,232,W0299,W0203,337.7852845802425,transfer,agent,A0003,train
TXN091555,2024-01-01T12:14:00+00:00,233,W1923,W1842,71.26204458124799,transfer,agent,A0156,independent
TXN000042,2024-01-01T12:21:00+00:00,234,W0937,W0778,230.84610454850647,transfer,agent,A0055,train
TXN037504,2024-01-01T12:26:00+00:00,235,W0612,W0094,14461.663137388929,transfer,p2p,,train
TXN076809,2024-01-01T12:27:00+00:00,236,W1455,W1415,173.35700477121907,transfer,p2p,,validation
TXN097228,2024-01-01T12:36:00+00:00,237,W1858,W1946,1509.7002099673089,transfer,agent,A0148,independent
TXN018300,2024-01-01T12:38:00+00:00,238,W0020,W0277,296.9891440898586,transfer,agent,A0031,train
TXN026685,2024-01-01T12:41:00+00:00,239,W0901,W0962,7343.334934823926,transfer,p2p,,train
TXN041228,2024-01-01T12:49:00+00:00,240,W0891,W0921,8302.638294822027,transfer,agent,A0062,train
TXN057163,2024-01-01T12:50:00+00:00,241,W0879,W1094,6210.4611018503765,transfer,p2p,,train
TXN020914,2024-01-01T12:51:00+00:00,242,W0080,W0445,18464.37732379948,transfer,agent,A0083,train
TXN036878,2024-01-01T12:54:00+00:00,243,W0247,W1157,1799.577026465484,transfer,p2p,,train
TXN072257,2024-01-01T12:59:00+00:00,244,W1437,W1295,101.60613546024747,transfer,agent,A0098,validation
TXN000043,2024-01-01T13:01:00+00:00,245,W0937,W0278,189.38375306050457,transfer,p2p,,train
TXN093597,2024-01-01T13:03:00+00:00,246,W1979,W1976,487.77390406510887,transfer,agent,A0153,independent
TXN054511,2024-01-01T13:03:00+00:00,247,W0641,W0210,9383.941885983817,transfer,p2p,,train
TXN075814,2024-01-01T13:05:00+00:00,248,W1443,W1376,302.8834921167877,transfer,agent,A0107,validation
TXN007232,2024-01-01T13:10:00+00:00,249,W1215,W1397,350.02050805462846,transfer,agent,A0108,validation
TXN061682,2024-01-01T13:12:00+00:00,250,W0646,W0110,8353.82345670566,transfer,agent,A0035,train
TXN042410,2024-01-01T13:14:00+00:00,251,W0893,W0964,208.32045989656106,transfer,agent,A0030,train
TXN050987,2024-01-01T13:14:00+00:00,252,W0513,W0606,12149.429177356076,transfer,agent,A0058,train
TXN000044,2024-01-01T13:15:00+00:00,253,W1015,W0981,190.51555937327646,transfer,p2p,,train
TXN093064,2024-01-01T13:17:00+00:00,254,W1800,W1825,341.5504092061616,transfer,agent,A0153,independent
TXN057393,2024-01-01T13:22:00+00:00,255,W0928,W0432,1656.124296249225,transfer,p2p,,train
